ALLEY_TRDAR_NO,SIGNGU_CD_NM,ADSTRD_CD_NM
12285,종로구,청운효자동
12311,종로구,청운효자동
12366,종로구,청운효자동
12339,종로구,사직동
12292,종로구,사직동
12287,종로구,삼청동
12290,종로구,삼청동
12314,종로구,삼청동
12161,종로구,평창동
12153,종로구,평창동
12149,종로구,평창동
12286,종로구,가회동
12299,종로구,가회동
13649,종로구,종로5.6가동
12379,종로구,이화동
13508,종로구,이화동
12322,종로구,혜화동
12336,종로구,창신동
12343,종로구,창신동
12328,종로구,숭인동
12350,종로구,숭인동
12330,종로구,숭인동
12446,종로구,숭인동
12357,종로구,숭인동
12460,중구,회현동
12518,중구,명동
12414,중구,광희동
12385,중구,신당동
12400,중구,신당동
12387,중구,신당동
12407,중구,신당동
12543,중구,신당동
13527,중구,다산동
12498,중구,다산동
12538,중구,다산동
12506,중구,다산동
12588,중구,약수동
12569,중구,약수동
12539,중구,청구동
12500,중구,청구동
13610,중구,청구동
12405,중구,신당동
12390,중구,동화동
12401,중구,동화동
12419,중구,황학동
12437,중구,황학동
12434,중구,황학동
12399,중구,황학동
12415,중구,황학동
12403,중구,황학동
12458,중구,황학동
12525,중구,중림동
12493,중구,중림동
12571,용산구,후암동
12570,용산구,후암동
12580,용산구,남영동
12605,용산구,남영동
12613,용산구,남영동
12630,용산구,청파동
12603,용산구,청파동
12631,용산구,청파동
12617,용산구,청파동
12802,용산구,원효로동
12628,용산구,원효로동
12784,용산구,원효로동
12812,용산구,용문동
12804,용산구,용문동
13530,용산구,용문동
12859,용산구,한강로동
12769,용산구,한강로동
12737,용산구,한강로동
12794,용산구,한강로동
12898,용산구,이촌동
12900,용산구,이촌동
12989,용산구,이촌동
12739,용산구,이태원동
12779,용산구,이태원동
12764,용산구,이태원동
12708,용산구,이태원동
13552,용산구,이태원동
13567,용산구,이태원동
12762,용산구,한남동
12740,용산구,한남동
12785,용산구,한남동
12815,용산구,한남동
12795,용산구,한남동
12879,용산구,한남동
12801,용산구,한남동
12833,용산구,보광동
12829,용산구,보광동
12396,성동구,왕십리동
12544,성동구,왕십리동
12384,성동구,왕십리동
12418,성동구,왕십리동
12426,성동구,왕십리동
12427,성동구,왕십리동
12436,성동구,마장동
12347,성동구,마장동
12424,성동구,마장동
12441,성동구,마장동
12454,성동구,마장동
12487,성동구,사근동
12527,성동구,사근동
12512,성동구,행당동
12522,성동구,행당동
12656,성동구,금호동
12585,성동구,금호동
12657,성동구,금호동
12582,성동구,금호동
12680,성동구,금호동
12649,성동구,금호동
12647,성동구,금호동
12637,성동구,금호동
12734,성동구,옥수동
12606,성동구,성수동
12798,성동구,성수동
12686,성동구,성수동
13545,성동구,성수동
12635,성동구,성수동
12625,성동구,성수동
12696,성동구,성수동
12691,성동구,성수동
12732,성동구,성수동
12811,성동구,성수동
12805,성동구,성수동
12611,성동구,성수동
12668,성동구,성수동
12624,성동구,성수동
12717,성동구,성수동
12718,성동구,성수동
12642,성동구,성수동
12700,성동구,성수동
12408,성동구,용답동
12409,성동구,용답동
12420,성동구,용답동
12381,성동구,용답동
12393,성동구,용답동
12621,광진구,화양동
13617,광진구,화양동
13620,광진구,화양동
12626,광진구,화양동
12629,광진구,화양동
12712,광진구,화양동
12715,광진구,화양동
12602,광진구,화양동
12610,광진구,화양동
12501,광진구,군자동
12646,광진구,군자동
13607,광진구,군자동
12598,광진구,군자동
13541,광진구,중곡동
12417,광진구,중곡동
12391,광진구,중곡동
12467,광진구,중곡동
12412,광진구,중곡동
12540,광진구,중곡동
12422,광진구,중곡동
12497,광진구,중곡동
12480,광진구,중곡동
12489,광진구,중곡동
12524,광진구,중곡동
12465,광진구,중곡동
12594,광진구,중곡동
12461,광진구,중곡동
12383,광진구,중곡동
12485,광진구,중곡동
12466,광진구,중곡동
13551,광진구,중곡동
12494,광진구,중곡동
12583,광진구,중곡동
12463,광진구,중곡동
12425,광진구,중곡동
12597,광진구,능동
12665,광진구,광장동
12644,광진구,광장동
12821,광진구,자양동
12776,광진구,자양동
12778,광진구,자양동
12751,광진구,자양동
12875,광진구,자양동
12797,광진구,자양동
12803,광진구,자양동
13578,광진구,자양동
12788,광진구,자양동
12876,광진구,자양동
12887,광진구,자양동
12885,광진구,자양동
13523,광진구,자양동
12882,광진구,자양동
12823,광진구,자양동
12822,광진구,자양동
12806,광진구,자양동
12817,광진구,자양동
12709,광진구,자양동
12710,광진구,구의동
12816,광진구,구의동
12615,광진구,구의동
12566,광진구,구의동
13633,광진구,구의동
12567,광진구,구의동
12741,광진구,구의동
12687,광진구,구의동
12692,광진구,구의동
12706,광진구,구의동
12699,광진구,구의동
12731,광진구,구의동
12348,동대문구,용신동
12333,동대문구,용신동
12370,동대문구,용신동
13562,동대문구,용신동
12308,동대문구,제기동
12295,동대문구,제기동
12226,동대문구,제기동
12241,동대문구,제기동
13580,동대문구,제기동
12306,동대문구,제기동
12302,동대문구,제기동
12309,동대문구,제기동
12296,동대문구,제기동
12373,동대문구,전농동
12345,동대문구,전농동
12359,동대문구,전농동
12377,동대문구,전농동
12363,동대문구,전농동
12444,동대문구,답십리동
12430,동대문구,답십리동
12382,동대문구,답십리동
13561,동대문구,답십리동
12428,동대문구,장안동
12398,동대문구,장안동
13648,동대문구,장안동
13647,동대문구,장안동
13646,동대문구,장안동
13645,동대문구,장안동
13644,동대문구,장안동
12510,동대문구,장안동
12395,동대문구,장안동
12352,동대문구,장안동
13529,동대문구,장안동
12374,동대문구,장안동
12375,동대문구,장안동
12451,동대문구,장안동
12342,동대문구,장안동
13550,동대문구,장안동
12341,동대문구,장안동
12318,동대문구,청량리동
13556,동대문구,회기동
12239,동대문구,회기동
12243,동대문구,회기동
12260,동대문구,회기동
12214,동대문구,휘경동
12248,동대문구,휘경동
12219,동대문구,휘경동
13597,동대문구,휘경동
12264,동대문구,이문동
12174,동대문구,이문동
12171,동대문구,이문동
12274,동대문구,이문동
13554,동대문구,이문동
12170,동대문구,이문동
12273,중랑구,면목동
12224,중랑구,면목동
12257,중랑구,면목동
12355,중랑구,면목동
12227,중랑구,면목동
12217,중랑구,면목동
12240,중랑구,면목동
12316,중랑구,면목동
13623,중랑구,면목동
12246,중랑구,면목동
12242,중랑구,면목동
12216,중랑구,면목동
12300,중랑구,면목동
12369,중랑구,면목동
12312,중랑구,면목동
12310,중랑구,면목동
12294,중랑구,면목동
12378,중랑구,면목동
12298,중랑구,면목동
12247,중랑구,면목동
12283,중랑구,면목동
12291,중랑구,면목동
12293,중랑구,면목동
12313,중랑구,면목동
12210,중랑구,면목동
13557,중랑구,면목동
12278,중랑구,면목동
12175,중랑구,상봉동
12275,중랑구,상봉동
12276,중랑구,상봉동
12262,중랑구,상봉동
12254,중랑구,상봉동
12251,중랑구,상봉동
12250,중랑구,상봉동
12182,중랑구,상봉동
12272,중랑구,상봉동
12194,중랑구,중화동
12193,중랑구,중화동
12192,중랑구,중화동
12181,중랑구,중화동
12130,중랑구,중화동
12200,중랑구,중화동
12265,중랑구,중화동
12197,중랑구,중화동
12195,중랑구,중화동
12168,중랑구,중화동
12144,중랑구,중화동
12091,중랑구,묵동
12109,중랑구,묵동
12120,중랑구,묵동
12112,중랑구,묵동
12119,중랑구,묵동
12156,중랑구,묵동
12103,중랑구,묵동
12106,중랑구,묵동
12134,중랑구,묵동
12203,중랑구,망우동
12166,중랑구,망우동
12165,중랑구,망우동
12267,중랑구,망우동
12178,중랑구,망우동
12169,중랑구,망우동
12176,중랑구,망우동
12256,중랑구,망우동
12185,중랑구,신내동
13521,중랑구,신내동
12146,중랑구,신내동
12129,중랑구,신내동
12135,중랑구,신내동
12128,중랑구,신내동
12125,중랑구,신내동
12238,성북구,성북동
12236,성북구,삼선동
12234,성북구,삼선동
12235,성북구,삼선동
12230,성북구,삼선동
13616,성북구,삼선동
13603,성북구,삼선동
12212,성북구,삼선동
12208,성북구,삼선동
12207,성북구,삼선동
12223,성북구,삼선동
12222,성북구,삼선동
12218,성북구,삼선동
12271,성북구,삼선동
12228,성북구,동선동
12179,성북구,동선동
12269,성북구,동선동
12255,성북구,동선동
12258,성북구,동선동
12268,성북구,동선동
12270,성북구,동선동
12325,성북구,안암동
12288,성북구,안암동
13577,성북구,안암동
12324,성북구,안암동
12320,성북구,안암동
12315,성북구,보문동
12232,성북구,보문동
13558,성북구,보문동
12148,성북구,정릉동
